day,day_label,week,week_label,month,month_label,quarter,quarter_label,fiscalhalf,fiscalhalf_label,fiscalyear,fiscalyear_label,dayofweek,dayofweek_label,dayofseason,dayofseason_label,weekofyear,weekofyear_label,weakofseason,weakofseason_label
20150103,1/3/2015,W01_2015,1/9/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SAT,Saturday,DOS01,DOS 01,WY02,Week 02,WS01,WOS 01
20150104,1/4/2015,W01_2015,1/9/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SUN,Sunday,DOS02,DOS 02,WY02,Week 02,WS01,WOS 01
20150105,1/5/2015,W01_2015,1/9/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,MON,Monday,DOS03,DOS 03,WY02,Week 02,WS01,WOS 01
20150106,1/6/2015,W01_2015,1/9/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,TUE,Tuesday,DOS04,DOS 04,WY02,Week 02,WS01,WOS 01
20150107,1/7/2015,W01_2015,1/9/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,WED,Wednesday,DOS05,DOS 05,WY02,Week 02,WS01,WOS 01
20150108,1/8/2015,W01_2015,1/9/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS06,DOS 06,WY02,Week 02,WS01,WOS 01
20150109,1/9/2015,W01_2015,1/9/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS07,DOS 07,WY02,Week 02,WS01,WOS 01
20150110,1/10/2015,W02_2015,1/16/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SAT,Saturday,DOS08,DOS 08,WY03,Week 03,WS02,WOS 02
20150111,1/11/2015,W02_2015,1/16/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,SUN,Sunday,DOS09,DOS 09,WY03,Week 03,WS02,WOS 02
20150112,1/12/2015,W02_2015,1/16/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,MON,Monday,DOS10,DOS 10,WY03,Week 03,WS02,WOS 02
20150113,1/13/2015,W02_2015,1/16/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,TUE,Tuesday,DOS11,DOS 11,WY03,Week 03,WS02,WOS 02
20150114,1/14/2015,W02_2015,1/16/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,WED,Wednesday,DOS12,DOS 12,WY03,Week 03,WS02,WOS 02
20150115,1/15/2015,W02_2015,1/16/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,THR,Thursday,DOS13,DOS 13,WY03,Week 03,WS02,WOS 02
20150116,1/16/2015,W02_2015,1/16/2015,JAN_2015,January FY 2015,Q1_2015,Quarter 1 FY 2015,S1_2015,Season 1 FY 2015,A2015,FY2015,FRI,Friday,DOS14,DOS 14,WY03,Week 03,WS02,WOS 02
