item,item_label,itemparent,itemparent_label,itemgrandparent,itemgrandparent_label,subclass,subclass_label,class,class_label,department,department_label,group,group_label,division,division_label,supplier,supplier_label,parentdiff1,parentdiff1_label,grandparentdiff1,grandparentdiff1_label,subclassdiff1,subclassdiff1_label,classdiff1,classdiff1_label,deptdiff1,deptdiff1_label,diff1,diff1_label,itemgrp1,itemgrp1_label,itemgrp2,itemgrp2_label
10000010,10000010Leather Loafer - Black 6 B,10000010,10000010Leather Loafer - Black 6 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000010_SML,10000010Leather Loafer - Black 6 B Small,10000009_SML,10000009Leather Loafer Small,122_SML,122Loafer Small,1312_SML,1312Casual* Small,1310_SML,1310Footwear Women's* Small,_SML,Small,122,122Loafer,1312,1312Casual*
10000011,10000011Leather Loafer - Black 6.5 B,10000011,10000011Leather Loafer - Black 6.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000011_MED,10000011Leather Loafer - Black 6.5 B Medium,10000009_MED,10000009Leather Loafer Medium,122_MED,122Loafer Medium,1312_MED,1312Casual* Medium,1310_MED,1310Footwear Women's* Medium,_MED,Medium,122,122Loafer,1312,1312Casual*
10000012,10000012Leather Loafer - Black 7 B,10000012,10000012Leather Loafer - Black 7 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000012_LRG,10000012Leather Loafer - Black 7 B Large,10000009_LRG,10000009Leather Loafer Large,122_LRG,122Loafer Large,1312_LRG,1312Casual* Large,1310_LRG,1310Footwear Women's* Large,_LRG,Large,122,122Loafer,1312,1312Casual*
10000013,10000013Leather Loafer - Black 7.5 B,10000013,10000013Leather Loafer - Black 7.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000013_SML,10000013Leather Loafer - Black 7.5 B Small,10000009_SML,10000009Leather Loafer Small,122_SML,122Loafer Small,1312_SML,1312Casual* Small,1310_SML,1310Footwear Women's* Small,_SML,Small,122,122Loafer,1312,1312Casual*
10000014,10000014Leather Loafer - Black 8 B,10000014,10000014Leather Loafer - Black 8 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000014_MED,10000014Leather Loafer - Black 8 B Medium,10000009_MED,10000009Leather Loafer Medium,122_MED,122Loafer Medium,1312_MED,1312Casual* Medium,1310_MED,1310Footwear Women's* Medium,_MED,Medium,122,122Loafer,1312,1312Casual*
10000015,10000015Leather Loafer - Black 8.5 B,10000015,10000015Leather Loafer - Black 8.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000015_LRG,10000015Leather Loafer - Black 8.5 B Large,10000009_LRG,10000009Leather Loafer Large,122_LRG,122Loafer Large,1312_LRG,1312Casual* Large,1310_LRG,1310Footwear Women's* Large,_LRG,Large,122,122Loafer,1312,1312Casual*
10000016,10000016Leather Loafer - Black 9 B,10000016,10000016Leather Loafer - Black 9 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000016_SML,10000016Leather Loafer - Black 9 B Small,10000009_SML,10000009Leather Loafer Small,122_SML,122Loafer Small,1312_SML,1312Casual* Small,1310_SML,1310Footwear Women's* Small,_SML,Small,122,122Loafer,1312,1312Casual*
10000017,10000017Leather Loafer - Black 9.5 B,10000017,10000017Leather Loafer - Black 9.5 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000017_MED,10000017Leather Loafer - Black 9.5 B Medium,10000009_MED,10000009Leather Loafer Medium,122_MED,122Loafer Medium,1312_MED,1312Casual* Medium,1310_MED,1310Footwear Women's* Medium,_MED,Medium,122,122Loafer,1312,1312Casual*
10000018,10000018Leather Loafer - Black 10 B,10000018,10000018Leather Loafer - Black 10 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000018_LRG,10000018Leather Loafer - Black 10 B Large,10000009_LRG,10000009Leather Loafer Large,122_LRG,122Loafer Large,1312_LRG,1312Casual* Large,1310_LRG,1310Footwear Women's* Large,_LRG,Large,122,122Loafer,1312,1312Casual*
10000019,10000019Leather Loafer - Brown 6 B,10000019,10000019Leather Loafer - Brown 6 B,10000009,10000009Leather Loafer,122,122Loafer,1312,1312Casual*,1310,1310Footwear Women's*,1300,Group 1,1,All Product,1000,Supplier 1,10000019_SML,10000019Leather Loafer - Brown 6 B Small,10000009_SML,10000009Leather Loafer Small,122_SML,122Loafer Small,1312_SML,1312Casual* Small,1310_SML,1310Footwear Women's* Small,_SML,Small,122,122Loafer,1312,1312Casual*
